review,class,text_for_models,text_for_stats,detected_aspects,aspects_parsed,aspect_sentiments,sentiments_parsed
"Thankfully Max wrote up a review for this.  I was writing reviews for the Sig Derb in the MGM Grand reviews.Best game in Vegas....EVER.  Even better than spot the hooker.Two rolls of quarters can last you an hour and a half on a bad streak ($20).  I've hit the 200-1 here twice.  In July 2010, February 2011.  Each was a $1 bet.  $200 profit  Thanks, I'll go blow it all on Craftsteak or head to Mandalay Bay and grab a Surf-N-Turf Burger  Burger Bar (LOBSTAH BUGAHHH!)I have gotten drunk at this game for minimum amounts, I've stayed sober at this game, I've played it with 20+ people surrounding it waiting for a seat on a holiday weekend, and I've played it with 1 other person at the table.Best game in Vegas.......no lie. Note: Last Sigma Derby machine in Vegas.  Thanks MGM Grand for keeping the dream alive.
",1,"thankfully max wrote up a review for this. i was writing reviews for the sig derb in the mgm grand reviews.best game in vegas....ever. even better than spot the hooker.two rolls of quarters can last you an hour and a half on a bad streak ($20). i have hit the 200-1 here twice. in july 2010, february 2011. each was a $1 bet. $200 profit thanks, i will go blow it all on craftsteak or head to mandalay bay and grab a surf-n-turf burger burger bar (lobstah bugahhh!)i have gotten drunk at this game for minimum amounts, i have stayed sober at this game, i have played it with 20+ people surrounding it waiting for a seat on a holiday weekend, and i have played it with 1 other person at the table.best game in vegas.......no lie. note: last sigma derby machine in vegas. thanks mgm grand for keeping the dream alive.",thankfully max write review write review sig derb mgm grand review best game vega ever even good spot hooker two roll quarter last hour half bad streak 20 hit 200 1 twice july 2010 february 2011 1 bet 200 profit thanks go blow craftsteak head mandalay bay grab surf n turf burger burger bar lobstah bugahhh get drunk game minimum amount stay sober game play 20 people surround wait seat holiday weekend play 1 person table best game vegas lie note last sigma derby machine vegas thanks mgm grand keep dream alive,{'value for money': 0.59},{'value for money': 0.59},{'value for money': 'NEGATIVE'},{'value for money': 'NEGATIVE'}
"I live in Boston, Ma,but my boyfriend lives in Pittsburgh and I was in need of flowers for a funeral service.  Considering I know nothing about what is top rated in Pitt, I looked to the web to try and find a good florist.  I saw Blumengarten and glad I decided to use their services!  The gentleman on the phone was so wonderful.  I explained that I needed flowers delivered to the funeral home in a few days.. I told him the two flowers that were her favorite and said that they needed to be used, but to do what ever else he thought would make the flowers beautiful.  I gave him the amount I wanted to spend and left it all up to him.  Absolutely wonderful customer service!   The day of the service I got a text from my boyfriend saying my flowers were stunning and and the most beautiful ones there!  Was so happy I chose Jim Ludwig's Blumengarten Florist and will continue to use them!!!  On a separate occasion, I also ordered some flowers online and had them sent to my boyfriends work as a surprise.  Again, absolutely beautiful, cheery flowers!!!!  I got a picture of them sent to me and couldn't have been more happy with what was delivered.
",1,"i live in boston, ma,but my boyfriend lives in pittsburgh and i was in need of flowers for a funeral service. considering i know nothing about what is top rated in pitt, i looked to the web to try and find a good florist. i saw blumengarten and glad i decided to use their services! the gentleman on the phone was so wonderful. i explained that i needed flowers delivered to the funeral home in a few days.. i told him the two flowers that were her favorite and said that they needed to be used, but to do what ever else he thought would make the flowers beautiful. i gave him the amount i wanted to spend and left it all up to him. absolutely wonderful customer service! the day of the service i got a text from my boyfriend saying my flowers were stunning and and the most beautiful ones there! was so happy i chose jim ludwig's blumengarten florist and will continue to use them!!! on a separate occasion, i also ordered some flowers online and had them sent to my boyfriends work as a surprise. again, absolutely beautiful, cheery flowers!!!! i got a picture of them sent to me and could not have been more happy with what was delivered.",live boston boyfriend live pittsburgh need flower funeral service consider know nothing top rat pitt look web try find good florist saw blumengarten glad decide use service gentleman phone wonderful explain need flower deliver funeral home day tell two flower favorite say need use ever else think would make flower beautiful give amount want spend leave absolutely wonderful customer service day service get text boyfriend say flower stun beautiful one happy choose jim ludwig blumengarten florist continue use separate occasion also order flower online send boyfriend work surprise absolutely beautiful cheery flower get picture send could happy deliver,"{'customer experience': 0.824, 'design and aesthetics': 0.776, 'value for money': 0.774, 'content quality': 0.645}","{'customer experience': 0.824, 'design and aesthetics': 0.776, 'value for money': 0.774, 'content quality': 0.645}","{'customer experience': 'POSITIVE', 'design and aesthetics': 'POSITIVE', 'value for money': 'POSITIVE', 'content quality': 'POSITIVE'}","{'customer experience': 'POSITIVE', 'design and aesthetics': 'POSITIVE', 'value for money': 'POSITIVE', 'content quality': 'POSITIVE'}"
"Great for dinner before the music starts!
",1,great for dinner before the music starts!,great dinner music start,{'content quality': 0.676},{'content quality': 0.676},{'content quality': 'POSITIVE'},{'content quality': 'POSITIVE'}
"I was so lucky to stumble upon the Priory! I came to Pittsburgh for a conference. The Westin at the convention center was booked, so I had to find alternative lodging and came across this place. I love this hotel.  The historic building is beautiful.  The beds are comfortable. The staff are very friendly and helpful.  They have a wonderful free continental breakfast in the morning.  It's near bars and restaurants, a nail salon, and a grocery store (I was surprised to find that beer is not sold in grocery stores in Pennsylvania.  Luckily, you can buy a variety of chilled beers at the front desk, which is open 24 hrs). The local pizza place delivers until 2 am.  It's walking distance to the Andy Warhol Museum.  Also, it's only a 2 minute drive from the convention center and much cheaper than the Westin.  I paid $105night. The tv was very small and the water pressure was weak, but everything else exceeded my expectations.
",1,"i was so lucky to stumble upon the priory! i came to pittsburgh for a conference. the westin at the convention center was booked, so i had to find alternative lodging and came across this place. i love this hotel. the historic building is beautiful. the beds are comfortable. the staff are very friendly and helpful. they have a wonderful free continental breakfast in the morning. it is near bars and restaurants, a nail salon, and a grocery store (i was surprised to find that beer is not sold in grocery stores in pennsylvania. luckily, you can buy a variety of chilled beers at the front desk, which is open 24 hrs). the local pizza place delivers until 2 am. it is walking distance to the andy warhol museum. also, it is only a 2 minute drive from the convention center and much cheaper than the westin. i paid $105night. the tv was very small and the water pressure was weak, but everything else exceeded my expectations.",lucky stumble upon priory come pittsburgh conference westin convention center book find alternative lodging come across place love hotel historic building beautiful bed comfortable staff friendly helpful wonderful free continental breakfast morning near bar restaurant nail salon grocery store surprise find beer sell grocery store pennsylvania luckily buy variety chilled beer front desk open 24 hr local pizza place delivers 2 walk distance andy warhol museum also 2 minute drive convention center much cheap westin pay 105night tv small water pressure weak everything else exceed expectation,"{'value for money': 0.834, 'content quality': 0.726, 'customer experience': 0.624, 'product quality': 0.593, 'functionality': 0.499}","{'value for money': 0.834, 'content quality': 0.726, 'customer experience': 0.624, 'product quality': 0.593, 'functionality': 0.499}","{'value for money': 'POSITIVE', 'content quality': 'NEGATIVE', 'customer experience': 'POSITIVE', 'product quality': 'POSITIVE', 'functionality': 'POSITIVE'}","{'value for money': 'POSITIVE', 'content quality': 'NEGATIVE', 'customer experience': 'POSITIVE', 'product quality': 'POSITIVE', 'functionality': 'POSITIVE'}"
"Once you to to all grain brewing, this is the store where you need to go as they have a walk in grain room and you can taste the grain you are using in your all-grain brewing. In addition, the staff is extremely courteous and helpful. I've received some great tips from them on improving my brewing. Just a first class operation!
",1,"once you to to all grain brewing, this is the store where you need to go as they have a walk in grain room and you can taste the grain you are using in your all-grain brewing. in addition, the staff is extremely courteous and helpful. i have received some great tips from them on improving my brewing. just a first class operation!",grain brewing store need go walk grain room taste grain use grain brewing addition staff extremely courteous helpful receive great tip improve brewing first class operation,{},{},{},{}
"I have been to the Visulite Theatre once to see the John Scofield Band.  I was not sure what to expect especially since I went by myself.   It was  a very enjoyable experience.  I ended sitting by the railing above the standing area in front of the band.  John Scofield is great and the jam band he tours with is fun to watch.  I always meant to go back but it never happened.
",1,i have been to the visulite theatre once to see the john scofield band. i was not sure what to expect especially since i went by myself. it was a very enjoyable experience. i ended sitting by the railing above the standing area in front of the band. john scofield is great and the jam band he tours with is fun to watch. i always meant to go back but it never happened.,visulite theatre see john scofield band sure expect especially since go enjoyable experience end sit railing stand area front band john scofield great jam band tour fun watch always mean go back never happen,{},{},{},{}
"LOVE!  found this place in a pinch when my usual place was closed in the middle of the day for no apparent reason.  i didn't have to wait at all.  got a gel manicure for the first time and it lasted for over a month while looking perfect!  only needed to get it re-done because my nail grew out so much.  everyone there is super nice and the price is wonderfully low for my student budget.  i only used to get my nails done for special occasions because of cost but..  now my nails are always looking great thanks to this place.
",1,love! found this place in a pinch when my usual place was closed in the middle of the day for no apparent reason. i did not have to wait at all. got a gel manicure for the first time and it lasted for over a month while looking perfect! only needed to get it re-done because my nail grew out so much. everyone there is super nice and the price is wonderfully low for my student budget. i only used to get my nails done for special occasions because of cost but.. now my nails are always looking great thanks to this place.,love find place pinch usual place close middle day apparent reason wait get gel manicure first time last month look perfect need get nail grow much everyone super nice price wonderfully low student budget use get nail special occasion cost nail always look great thanks place,"{'value for money': 0.957, 'design and aesthetics': 0.942, 'content quality': 0.77, 'functionality': 0.757, 'product quality': 0.673}","{'value for money': 0.957, 'design and aesthetics': 0.942, 'content quality': 0.77, 'functionality': 0.757, 'product quality': 0.673}","{'value for money': 'NEGATIVE', 'design and aesthetics': 'POSITIVE', 'content quality': 'POSITIVE', 'functionality': 'POSITIVE', 'product quality': 'POSITIVE'}","{'value for money': 'NEGATIVE', 'design and aesthetics': 'POSITIVE', 'content quality': 'POSITIVE', 'functionality': 'POSITIVE', 'product quality': 'POSITIVE'}"
"I'm very picky about my eyebrows it has taken me years to find someone that Keeps them nice and arch and thick . In desperate need I thought id give them a try and best decision ever made! Jennifer is amazing at eyebrows I can't express that enough. She is the only one I trust with them and I've been going to her for over a year.
",1,i am very picky about my eyebrows it has taken me years to find someone that keeps them nice and arch and thick . in desperate need i thought id give them a try and best decision ever made! jennifer is amazing at eyebrows i cannot express that enough. she is the only one i trust with them and i have been going to her for over a year.,picky eyebrow take year find someone keep nice arch thick desperate need think id give try best decision ever make jennifer amaze eyebrow express enough one trust go year,{'design and aesthetics': 0.704},{'design and aesthetics': 0.704},{'design and aesthetics': 'POSITIVE'},{'design and aesthetics': 'POSITIVE'}
"As a long time lover of great cheeses, and especially feta, there is no place better to get your cheese from than Crow's Dairy.I have tried almost all of the different kinds they make and I think the worst part is picking which one to buy.  The regular feta and the peppercorn feta are two of my must-haves.  The peppercorn gives a nice little kick thats great paired with tomatoes and cucumbers.  Also, the chevres are creamy and so delicious.  If you are looking for more of a sweet treat from your cheese, definitely try the butter pecan.  It tastes like a delicious cheesecake and I could literally eat an entire container by itself in one sitting (thank God for self-control, right)I would say that worst thing about Crow's Dairy cheese is that I have to wait until the weekend Farmer's Market to get it!
",1,"as a long time lover of great cheeses, and especially feta, there is no place better to get your cheese from than crow's dairy.i have tried almost all of the different kinds they make and i think the worst part is picking which one to buy. the regular feta and the peppercorn feta are two of my must-haves. the peppercorn gives a nice little kick that is great paired with tomatoes and cucumbers. also, the chevres are creamy and so delicious. if you are looking for more of a sweet treat from your cheese, definitely try the butter pecan. it tastes like a delicious cheesecake and i could literally eat an entire container by itself in one sitting (thank god for self-control, right)i would say that worst thing about crow's dairy cheese is that i have to wait until the weekend farmer's market to get it!",long time lover great cheese especially feta place well get cheese crow dairy try almost different kind make think bad part pick one buy regular feta peppercorn feta two must peppercorn give nice little kick great pair tomato cucumber also chevre creamy delicious look sweet treat cheese definitely try butter pecan taste like delicious cheesecake could literally eat entire container one sit thank god self control right would say bad thing crow dairy cheese wait weekend farmer market get,"{'product quality': 0.662, 'value for money': 0.501}","{'product quality': 0.662, 'value for money': 0.501}","{'product quality': 'POSITIVE', 'value for money': 'POSITIVE'}","{'product quality': 'POSITIVE', 'value for money': 'POSITIVE'}"
"While staying in Uptown Charlotte we decided on sushi for dinner. Based on a yelp search we looked for a reasonable priced, well reviewed, ready walking distance option from our hotel.  This one is rated with two $$.  Truthfully some of the best sushi I've ever had.  My boyfriend and I split 3 rolls; the coastal roll, panther roll, and the Godzilla roll.  They were not skimpy by any means, there was almost am entire roll left when I had to give up, so the man happily picked up the slack.  I'm only on town for the weekend, so I have no idea if they run specials throughout the week.  I will absolutely come back next time I'm here, and will recommend to my friend who live here and visit here (only 3 hours from home)
",1,"while staying in uptown charlotte we decided on sushi for dinner. based on a yelp search we looked for a reasonable priced, well reviewed, ready walking distance option from our hotel. this one is rated with two $$. truthfully some of the best sushi i have ever had. my boyfriend and i split 3 rolls; the coastal roll, panther roll, and the godzilla roll. they were not skimpy by any means, there was almost am entire roll left when i had to give up, so the man happily picked up the slack. i am only on town for the weekend, so i have no idea if they run specials throughout the week. i will absolutely come back next time i am here, and will recommend to my friend who live here and visit here (only 3 hours from home)",stay uptown charlotte decide sushi dinner base yelp search look reasonable price well review ready walk distance option hotel one rat two truthfully best sushi ever boyfriend split 3 roll coastal roll panther roll godzilla roll skimpy mean almost entire roll leave give man happily pick slack town weekend idea run special throughout week absolutely come back next time recommend friend live visit 3 hour home,{'value for money': 0.977},{'value for money': 0.977},{'value for money': 'NEGATIVE'},{'value for money': 'NEGATIVE'}
"First, let me say that I am not someone who would normally go to a house for in-call massage, nor am I into the idea of having a male massage me, but I needed someone with the strength to correct my back issues.    That being said, Jim's excellent reviews, history as a sports masseur, and very fair pricing overcame my initial objections, and let me say, I am glad they did! Jim provided me an excellent 1 hour deep tissue massage.  He also helped adjust my lower back to assist with the sciatic nerve pain.   He was also kind enough to provide me tips to help avoid future pain issues.  Jim is centrally located in Las Vegas (only 7 minutes east of the strip), professional, courteous, and talented!  You can really tell he loves his work and loves helping people.  I will be back for sure!
",1,"first, let me say that i am not someone who would normally go to a house for in-call massage, nor am i into the idea of having a male massage me, but i needed someone with the strength to correct my back issues. that being said, jim's excellent reviews, history as a sports masseur, and very fair pricing overcame my initial objections, and let me say, i am glad they did! jim provided me an excellent 1 hour deep tissue massage. he also helped adjust my lower back to assist with the sciatic nerve pain. he was also kind enough to provide me tips to help avoid future pain issues. jim is centrally located in las vegas (only 7 minutes east of the strip), professional, courteous, and talented! you can really tell he loves his work and loves helping people. i will be back for sure!",first let say someone would normally go house call massage idea male massage need someone strength correct back issue say jim excellent review history sport masseur fair pricing overcame initial objection let say glad jim provide excellent 1 hour deep tissue massage also help adjust low back assist sciatic nerve pain also kind enough provide tip help avoid future pain issue jim centrally locate la vega 7 minute east strip professional courteous talented really tell love work love help people back sure,"{'value for money': 0.906, 'content quality': 0.593}","{'value for money': 0.906, 'content quality': 0.593}","{'value for money': 'POSITIVE', 'content quality': 'POSITIVE'}","{'value for money': 'POSITIVE', 'content quality': 'POSITIVE'}"
"i have found some of my most prized vinyl at lunchbox. they don't carry crap. it seems like a rule. everything on the display is good and on my wish list. they know their demographic! the staff still can seem a bit... judge-y I have been self conscious about my picks before... even though i thought they were awesome. BUT, if you are lucky enough to get the nod of approval, or even a ""great album""... you will feel like you could be head music editor of Rolling Stone. Your self worth shoots through the roof. so maybe it is good that they don't hand those head-nods out like candy. (i got the head nod with Morrisey's ""Viva Hate"" and Bob Dylan's ""The Free wheelin' Bob Dylan""...make note.)
",1,"i have found some of my most prized vinyl at lunchbox. they do not carry crap. it seems like a rule. everything on the display is good and on my wish list. they know their demographic! the staff still can seem a bit... judge-y i have been self conscious about my picks before... even though i thought they were awesome. but, if you are lucky enough to get the nod of approval, or even a ""great album""... you will feel like you could be head music editor of rolling stone. your self worth shoots through the roof. so maybe it is good that they do not hand those head-nods out like candy. (i got the head nod with morrisey's ""viva hate"" and bob dylan's ""the free wheelin' bob dylan""...make note.)",find prized vinyl lunchbox carry crap seem like rule everything display good wish list know demographic staff still seem bit judge self conscious pick even though think awesome lucky enough get nod approval even great album feel like could head music editor roll stone self worth shoot roof maybe good hand head nod like candy get head nod morrisey viva hate bob dylan free wheelin bob dylan make note,"{'content quality': 0.915, 'product quality': 0.909, 'design and aesthetics': 0.647, 'value for money': 0.629}","{'content quality': 0.915, 'product quality': 0.909, 'design and aesthetics': 0.647, 'value for money': 0.629}","{'content quality': 'POSITIVE', 'product quality': 'POSITIVE', 'design and aesthetics': 'POSITIVE', 'value for money': 'NEUTRAL'}","{'content quality': 'POSITIVE', 'product quality': 'POSITIVE', 'design and aesthetics': 'POSITIVE', 'value for money': 'NEUTRAL'}"
"So good. Haven't been able to stop thinking about it. Need to go back asafp.Go For:- Black bean fritters- Pollo Cubano- Pulled porkFriendly service, authentic Caribbean feel.
",1,"so good. have not been able to stop thinking about it. need to go back asafp.go for:- black bean fritters- pollo cubano- pulled porkfriendly service, authentic caribbean feel.",good able stop think need go back asafp go black bean fritter pollo cubano pull porkfriendly service authentic caribbean feel,"{'product quality': 0.569, 'content quality': 0.484}","{'product quality': 0.569, 'content quality': 0.484}","{'product quality': 'POSITIVE', 'content quality': 'POSITIVE'}","{'product quality': 'POSITIVE', 'content quality': 'POSITIVE'}"
"Thank You, RP's Pasta for refining and providing excellent gluten-free pasta!  I was exstatic to find your gluten-free lasagna sheets packaged for retail!  My lasagna is in the oven right now!  I choose to eat gluten-free.  i appreciate your tenacity in providing gluten-free, fresh pasta at an affordable price.  I also appreciate you for working with retailers to meet their needs!  I worked with you to source gluten-free lasagna sheets for my gluten-free customers at Hy-vee.  Your staff is always professional.  I appreciate your personal interaction.  I will always recommend your pastas, gluten-free or not because you are a company of integrity.
",1,"thank you, rp's pasta for refining and providing excellent gluten-free pasta! i was exstatic to find your gluten-free lasagna sheets packaged for retail! my lasagna is in the oven right now! i choose to eat gluten-free. i appreciate your tenacity in providing gluten-free, fresh pasta at an affordable price. i also appreciate you for working with retailers to meet their needs! i worked with you to source gluten-free lasagna sheets for my gluten-free customers at hy-vee. your staff is always professional. i appreciate your personal interaction. i will always recommend your pastas, gluten-free or not because you are a company of integrity.",thank rp pasta refining provide excellent gluten free pasta exstatic find gluten free lasagna sheet package retail lasagna oven right choose eat gluten free appreciate tenacity provide gluten free fresh pasta affordable price also appreciate work retailer meet need work source gluten free lasagna sheet gluten free customer hy vee staff always professional appreciate personal interaction always recommend pasta gluten free company integrity,"{'customer experience': 0.992, 'value for money': 0.987, 'product quality': 0.984, 'content quality': 0.94, 'design and aesthetics': 0.794, 'functionality': 0.765}","{'customer experience': 0.992, 'value for money': 0.987, 'product quality': 0.984, 'content quality': 0.94, 'design and aesthetics': 0.794, 'functionality': 0.765}","{'customer experience': 'NEGATIVE', 'value for money': 'POSITIVE', 'product quality': 'POSITIVE', 'content quality': 'POSITIVE', 'design and aesthetics': 'POSITIVE', 'functionality': 'NEGATIVE'}","{'customer experience': 'NEGATIVE', 'value for money': 'POSITIVE', 'product quality': 'POSITIVE', 'content quality': 'POSITIVE', 'design and aesthetics': 'POSITIVE', 'functionality': 'NEGATIVE'}"
"I can't say enough about Merante's and Maria. The back of the shop has wonderful baked goods. Pies, breads and of course the best biscotti around! Though, the true treasure exists in the upstairs apartment where Maria has cooking classes and serves a 6 course meal to parties of  8-10 most nights of the week. I heard about the private parties while at a food tour of Bloomfield. I knew I needed to get a reservation but, I had no idea how difficult that task would be. We scheduled a dinner in October for the first available Friday or Saturday which was 6 months later! That's right folks, 6 months in advance! The menu changes seasonally and is posted on the website. We ordered earlier in the week so that Maria had time to purchase the necessary items and prepare our meal. The menu would typically be the same for all 8 in the party but, Maria graciously offered to allow us to split the entrees into a meat and a non meat option to allow those who don't eat meat on Fridays during lent to have another option. When we arrived, we all enjoyed the appetizers in a sitting room at the front of the apartment. The appetizers themselves were a meal- meatballs, bread, shrimp, spinach pie, stuffed tomatoes and cheese with roasted peppers- all of which were incredible. Bring along your wine as Merante's is BYOB. The next course was soup which we were served in the formal dinning room which opened to the small kitchen where Maria cooks your meal. At first it was a little awkward sitting so close to the kitchen and Maria. Imagine having dinner at your grandmother's home with 7  of your closest friends. But, Maria did a great job of giving us our privacy. We hardly even noticed that she was there. After the soup came the pasta (homemade gnocchi anyone), then the entrees and vegetables, then the salad and last, the dessert. This was a meal fit for a king! The portions were huge! Luckily, Maria boxed up the leftovers making for an easy lunch the next day. If your lucky, you may even get to take home a little extra something such as extra sauce or a homemade truffle. Absolutely everything about this dinner was perfection. Everything (from the food to the service and hospitality) was done with the utmost care and concern to ensure a wonderful experience. I would literally come here every month if it were possible. Unfortunately, Maria is booked through the end of 2014! Not one day available in the next 8 months! My only complaint, Maria is in serious need of a clone.
",1,"i cannot say enough about merante's and maria. the back of the shop has wonderful baked goods. pies, breads and of course the best biscotti around! though, the true treasure exists in the upstairs apartment where maria has cooking classes and serves a 6 course meal to parties of 8-10 most nights of the week. i heard about the private parties while at a food tour of bloomfield. i knew i needed to get a reservation but, i had no idea how difficult that task would be. we scheduled a dinner in october for the first available friday or saturday which was 6 months later! that is right folks, 6 months in advance! the menu changes seasonally and is posted on the website. we ordered earlier in the week so that maria had time to purchase the necessary items and prepare our meal. the menu would typically be the same for all 8 in the party but, maria graciously offered to allow us to split the entrees into a meat and a non meat option to allow those who do not eat meat on fridays during lent to have another option. when we arrived, we all enjoyed the appetizers in a sitting room at the front of the apartment. the appetizers themselves were a meal- meatballs, bread, shrimp, spinach pie, stuffed tomatoes and cheese with roasted peppers- all of which were incredible. bring along your wine as merante's is byob. the next course was soup which we were served in the formal dinning room which opened to the small kitchen where maria cooks your meal. at first it was a little awkward sitting so close to the kitchen and maria. imagine having dinner at your grandmother's home with 7 of your closest friends. but, maria did a great job of giving us our privacy. we hardly even noticed that she was there. after the soup came the pasta (homemade gnocchi anyone), then the entrees and vegetables, then the salad and last, the dessert. this was a meal fit for a king! the portions were huge! luckily, maria boxed up the leftovers making for an easy lunch the next day. if your lucky, you may even get to take home a little extra something such as extra sauce or a homemade truffle. absolutely everything about this dinner was perfection. everything (from the food to the service and hospitality) was done with the utmost care and concern to ensure a wonderful experience. i would literally come here every month if it were possible. unfortunately, maria is booked through the end of 2014! not one day available in the next 8 months! my only complaint, maria is in serious need of a clone.",say enough merante maria back shop wonderful bake good pie bread course best biscotti around though true treasure exist upstairs apartment maria cooking class serve 6 course meal party 8 10 night week hear private party food tour bloomfield know need get reservation idea difficult task would schedule dinner october first available friday saturday 6 month later right folk 6 month advance menu change seasonally post website order earlier week maria time purchase necessary item prepare meal menu would typically 8 party maria graciously offer allow us split entree meat non meat option allow eat meat friday lent another option arrive enjoy appetizer sitting room front apartment appetizer meal meatballs bread shrimp spinach pie stuffed tomato cheese roasted pepper incredible bring along wine merante byob next course soup serve formal dinning room open small kitchen maria cook meal first little awkward sit close kitchen maria imagine dinner grandmother home 7 close friend maria great job give us privacy hardly even notice soup come pasta homemade gnocchi anyone entree vegetable salad last dessert meal fit king portion huge luckily maria box leftover make easy lunch next day lucky may even get take home little extra something extra sauce homemade truffle absolutely everything dinner perfection everything food service hospitality utmost care concern ensure wonderful experience would literally come every month possible unfortunately maria book end 2014 one day available next 8 month complaint maria serious need clone,{'value for money': 0.499},{'value for money': 0.499},{'value for money': 'POSITIVE'},{'value for money': 'POSITIVE'}
"This is our home away from home! If you ever come near this area, you will not regret staying at the Rancho Sonora. It is a nice place to get together with a family and can accommodate a large group of people.We love staying at their casita, a self standing house. Everything is super clean and tastefully decorated. We stayed twice at Casita-Ilsa. The Ilsa has a full kitchen with a eat-inn counter, TV room, a comfortable bed and large bath tub.There are also affordable motel rooms which are very charming.They also have jacuzzi and pool. My father in-law stays at RV park for winter. He loves the community.I love going there to see him, thanks to the comfortable and welcoming environment they provide there.
",1,"this is our home away from home! if you ever come near this area, you will not regret staying at the rancho sonora. it is a nice place to get together with a family and can accommodate a large group of people.we love staying at their casita, a self standing house. everything is super clean and tastefully decorated. we stayed twice at casita-ilsa. the ilsa has a full kitchen with a eat-inn counter, tv room, a comfortable bed and large bath tub.there are also affordable motel rooms which are very charming.they also have jacuzzi and pool. my father in-law stays at rv park for winter. he loves the community.i love going there to see him, thanks to the comfortable and welcoming environment they provide there.",home away home ever come near area regret stay rancho sonora nice place get together family accommodate large group people love stay casita self stand house everything super clean tastefully decorate stay twice casita ilsa ilsa full kitchen eat inn counter tv room comfortable bed large bath tub also affordable motel room charm also jacuzzi pool father law stay rv park winter love community love go see thanks comfortable welcome environment provide,"{'design and aesthetics': 0.993, 'value for money': 0.921, 'content quality': 0.877, 'product quality': 0.817, 'functionality': 0.559}","{'design and aesthetics': 0.993, 'value for money': 0.921, 'content quality': 0.877, 'product quality': 0.817, 'functionality': 0.559}","{'design and aesthetics': 'POSITIVE', 'value for money': 'POSITIVE', 'content quality': 'POSITIVE', 'product quality': 'POSITIVE', 'functionality': 'POSITIVE'}","{'design and aesthetics': 'POSITIVE', 'value for money': 'POSITIVE', 'content quality': 'POSITIVE', 'product quality': 'POSITIVE', 'functionality': 'POSITIVE'}"
"Quality beats quantity.  This store has the highest quality record collection I have seen.  They keep shoppers updated on their newly received new and used records via Twitter and Facebook status which helps to know what is in stock.  This alone keeps them at a higher rating than other record stores in CLT.
",1,quality beats quantity. this store has the highest quality record collection i have seen. they keep shoppers updated on their newly received new and used records via twitter and facebook status which helps to know what is in stock. this alone keeps them at a higher rating than other record stores in clt.,quality beat quantity store high quality record collection see keep shopper update newly receive new used record via twitter facebook status help know stock alone keep high rating record store clt,{'product quality': 0.494},{'product quality': 0.494},{'product quality': 'POSITIVE'},{'product quality': 'POSITIVE'}
"My husband, a friend, and myself went there for fish on black Friday. We were surprised that it was not very busy so we thought we would get service pretty quickly. We sat at a table near the salad bar and waited....and waited... and waited. We saw one server and also saw another table waiting for service as well. The waitress never once acknowledged that we were sitting there and she had to pass our table to to wait on another table. All the waitress had to do was say she would be right with us...or SOMETHING. After waiting a half hour with no word from the waitress, we got up and left. Murphy's Bar was way more accommodating.
",0,"my husband, a friend, and myself went there for fish on black friday. we were surprised that it was not very busy so we thought we would get service pretty quickly. we sat at a table near the salad bar and waited....and waited... and waited. we saw one server and also saw another table waiting for service as well. the waitress never once acknowledged that we were sitting there and she had to pass our table to to wait on another table. all the waitress had to do was say she would be right with us...or something. after waiting a half hour with no word from the waitress, we got up and left. murphy's bar was way more accommodating.",husband friend go fish black friday surprise busy think would get service pretty quickly sit table near salad bar wait wait wait saw one server also saw another table wait service well waitress never acknowledge sit pass table wait another table waitress say would right us something wait half hour word waitress get leave murphy bar way accommodating,{},{},{},{}
